area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_clean,bhk,price_per_sqft,location_grouped
Super built-up  Area,Ready To Move,Vijaya Bank Colony,3 BHK,Unknown,1400,2.0,2.0,62.0,1400.0,3,4428.571428571428,other
Super built-up  Area,Ready To Move,Bellandur,2 BHK,SRageri,1195,2.0,2.0,51.0,1195.0,2,4267.782426778243,Bellandur
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,Veodsar,1302,2.0,1.0,69.1,1302.0,2,5307.219662058371,Narayanapura
Super built-up  Area,Ready To Move,Kumarapalli,3 BHK,BMmesHo,1488,2.0,3.0,60.0,1488.0,3,4032.2580645161293,other
Super built-up  Area,18-Aug,Kammasandra,3 BHK,DSOakil,1385,2.0,2.0,34.63,1385.0,3,2500.361010830325,Kammasandra
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Unknown,3262,4.0,2.0,260.0,3262.0,4,7970.570202329859,Whitefield
Built-up  Area,18-Jan,Electronic City,3 BHK,Prarkun,1600,3.0,2.0,104.0,1600.0,3,6500.0,Electronic City
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,FlsicFl,1150,2.0,1.0,90.0,1150.0,2,7826.086956521739,Old Airport Road
Plot  Area,Ready To Move,Lakkasandra,9 Bedroom,Unknown,4500,9.0,2.0,166.0,4500.0,9,3688.8888888888887,other
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Unknown,1263,2.0,1.0,78.0,1263.0,2,6175.771971496437,Sarjapur  Road
Super built-up  Area,20-May,Kanakpura Road,2 BHK,Soena A,1299,2.0,2.0,85.0,1299.0,2,6543.4949961508855,Kanakpura Road
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Unknown,1330,2.0,1.0,78.0,1330.0,2,5864.661654135339,Banashankari
Super built-up  Area,18-Apr,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,52.43,1282.0,3,4089.703588143526,Devanahalli
Built-up  Area,Ready To Move,"JP Nagar 8th Phase,",3 BHK,Unknown,1853,3.0,2.0,82.0,1853.0,3,4425.256341068538,other
Super built-up  Area,Ready To Move,Kachanayakanahalli,2 BHK,ICoolon,861,2.0,1.0,35.0,861.0,2,4065.040650406504,other
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1600,3.0,2.0,95.0,1600.0,3,5937.5,Bannerghatta Road
Built-up  Area,Ready To Move,Nagaraja Garden,2 BHK,Unknown,1256,2.0,1.0,62.8,1256.0,2,5000.0,other
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1390,2.0,2.0,80.0,1390.0,3,5755.395683453237,other
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,Raeusiy,1550,2.0,2.0,90.0,1550.0,3,5806.451612903225,other
Built-up  Area,Ready To Move,Hebbal,2 BHK,Unknown,919,2.0,1.0,49.0,919.0,2,5331.882480957563,Hebbal
Plot  Area,18-May,Margondanahalli,3 Bedroom,Unknown,1625,3.0,0.0,80.0,1625.0,3,4923.076923076923,Margondanahalli
Super built-up  Area,Ready To Move,Gunjur,2 BHK,Puide P,1195,2.0,2.0,44.0,1195.0,2,3682.0083682008367,Gunjur
Super built-up  Area,20-Jun,Whitefield,3 BHK,Somns T,1386,3.0,1.0,57.46,1386.0,3,4145.743145743146,Whitefield
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2.0,1.0,79.0,1197.0,2,6599.832915622389,Harlur
Super built-up  Area,Ready To Move,Jigani,4 Bedroom,Prllasw,3293 - 5314,4.0,2.0,226.0,4303.5,4,5251.539444638085,Jigani
Super built-up  Area,18-May,Bommasandra,3 BHK,SSestth,1295,2.0,1.0,50.28,1295.0,3,3882.6254826254826,Bommasandra
Built-up  Area,18-Jul,Huskur,3 BHK,Unknown,1310,2.0,1.0,37.83,1310.0,3,2887.7862595419847,other
Super built-up  Area,21-Dec,Whitefield,2 BHK,Preaunt,1132,2.0,1.0,79.28,1132.0,2,7003.533568904593,Whitefield
Built-up  Area,Ready To Move,6th block Koramangala,3 BHK,Sinde G,2350,3.0,2.0,400.0,2350.0,3,17021.27659574468,other
Plot  Area,Ready To Move,4th Block Koramangala,4 Bedroom,Unknown,2400,4.0,2.0,500.0,2400.0,4,20833.333333333332,other
Super built-up  Area,19-Dec,Hebbal,3 BHK,Raard B,1645,3.0,2.0,135.0,1645.0,3,8206.686930091186,Hebbal
Super built-up  Area,18-Nov,Whitefield,2 BHK,Unknown,1200,2.0,1.0,45.84,1200.0,2,3820.0,Whitefield
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1937,3.0,2.0,140.0,1937.0,3,7227.671657201859,Marathahalli
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vayali ,1015,2.0,2.0,33.5,1015.0,2,3300.4926108374384,Doddathoguru
Super built-up  Area,Ready To Move,Nagadevanahalli,2 BHK,Unknown,1080,2.0,2.0,39.0,1080.0,2,3611.1111111111113,other
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1350,2.0,2.0,80.99,1350.0,3,5999.259259259258,Kathriguppe
Super built-up  Area,18-Aug,Kengeri Satellite Town,3 BHK,DSestSt,1149,2.0,2.0,29.0,1149.0,3,2523.933855526545,Kengeri Satellite Town
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1185,2.0,2.0,59.0,1185.0,2,4978.9029535864975,Kothanur
Super built-up  Area,Ready To Move,Domlur,3 BHK,Unknown,1720,3.0,1.0,135.0,1720.0,3,7848.837209302325,Domlur
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Unknown,2080,3.0,3.0,175.0,2080.0,3,8413.461538461539,Hebbal
Plot  Area,Ready To Move,Tindlu,3 Bedroom,Hentye ,1500,3.0,1.0,87.0,1500.0,3,5800.0,other
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1566,3.0,2.0,97.0,1566.0,3,6194.125159642401,Yelahanka
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2386,3.0,2.0,334.0,2386.0,3,13998.323554065382,Rajaji Nagar
Plot  Area,Ready To Move,KSRTC Layout,4 Bedroom,Unknown,1500,4.0,0.0,110.0,1500.0,4,7333.333333333333,other
Super built-up  Area,Ready To Move,KR Puram,2 BHK,LVniaar,1290,2.0,1.0,49.02,1290.0,2,3800.0,KR Puram
Built-up  Area,20-Dec,"JP nagar 9th Phase,",3 BHK,Unknown,1531,3.0,2.0,72.0,1531.0,3,4702.808621815807,other
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1839,3.0,3.0,165.0,1839.0,3,8972.26753670473,other
Plot  Area,Ready To Move,Dollars Layout,4 Bedroom,Unknown,4200,4.0,1.0,760.0,4200.0,4,18095.238095238095,other
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1400,2.0,2.0,40.43,1400.0,3,2887.8571428571427,Electronic City Phase II
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1140,2.0,2.0,39.0,1140.0,2,3421.0526315789475,Whitefield
Super built-up  Area,21-Jun,Tumkur Road,3 BHK,Coowsri,1210 - 1477,3.0,0.0,57.76,1343.5,3,4299.218459248233,Tumkur Road
Built-up  Area,Ready To Move,Banashankari Stage III,4 Bedroom,Unknown,2000,4.0,0.0,100.0,2000.0,4,5000.0,Banashankari Stage III
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,VaasaPr,1100,2.0,1.0,46.0,1100.0,2,4181.818181818182,Kaval Byrasandra
Built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Mancyhi,1200,2.0,2.0,55.0,1200.0,2,4583.333333333333,other
Super built-up  Area,18-Apr,Bannerghatta,3 BHK,Unknown,1618,3.0,1.0,68.0,1618.0,3,4202.719406674907,Bannerghatta
Super built-up  Area,18-Oct,Whitefield,4 BHK,Prtates,2830,5.0,2.0,160.0,2830.0,4,5653.7102473498235,Whitefield
Super built-up  Area,Ready To Move,Anandapura,2 BHK,ViensRK,1141,2.0,1.0,42.75,1141.0,2,3746.7134092900965,Anandapura
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Srestve,1080,2.0,2.0,55.0,1080.0,2,5092.592592592592,AECS Layout
Super built-up  Area,Ready To Move,HBR Layout,2 BHK,Flretes,1200,2.0,2.0,60.0,1200.0,2,5000.0,HBR Layout
Super built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1111,2.0,2.0,41.88,1111.0,2,3769.57695769577,Varthur
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,Unknown,1022,2.0,1.0,45.9,1022.0,2,4491.19373776908,NGR Layout
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1275,2.0,2.0,65.0,1275.0,2,5098.0392156862745,Bannerghatta Road
Super built-up  Area,Ready To Move,4th Block Jayanagar,2 BHK,Unknown,900,2.0,1.0,70.0,900.0,2,7777.777777777777,other
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,Sancy L,1135,2.0,3.0,43.0,1135.0,2,3788.546255506608,Battarahalli
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Unknown,1050,2.0,2.0,52.1,1050.0,2,4961.9047619047615,Rachenahalli
Super built-up  Area,17-Nov,Nagavarapalya,2 BHK,PuonsSe,1392,2.0,1.0,130.0,1392.0,2,9339.080459770115,Nagavarapalya
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Kritel ,1050,2.0,2.0,72.0,1050.0,2,6857.142857142857,Bellandur
Super built-up  Area,19-Jun,Hosa Road,3 BHK,Sosisic,1513,3.0,1.0,103.0,1513.0,3,6807.666886979511,Hosa Road
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Sooutnu,1621,3.0,3.0,72.0,1621.0,3,4441.702652683529,Gottigere
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Ceise P,892,2.0,1.0,39.0,892.0,2,4372.197309417041,Bannerghatta Road
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1205,2.0,1.0,40.0,1205.0,2,3319.5020746887967,Whitefield
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1355,3.0,2.0,83.87,1355.0,3,6189.667896678967,Hebbal
Super built-up  Area,Ready To Move,Karnataka Shabarimala,4 BHK,Unknown,1200,6.0,3.0,70.0,1200.0,4,5833.333333333333,other
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Suurtni,1400,2.0,2.0,168.0,1400.0,2,12000.0,Indira Nagar
Super built-up  Area,18-Nov,Kengeri,2 BHK,VBn 2lm,726,2.0,1.0,35.0,726.0,2,4820.936639118458,Kengeri
Plot  Area,Ready To Move,Singena Agrahara,3 Bedroom,CoiewSy,1500,3.0,2.0,149.0,1500.0,3,9933.333333333334,other
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Unknown,3895,4.0,2.0,405.0,3895.0,4,10397.946084724004,Hebbal
Super built-up  Area,18-Dec,Horamavu Agara,2 BHK,Unknown,1079,2.0,2.0,41.0,1079.0,2,3799.8146431881373,Horamavu Agara
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Visic C,1170,2.0,2.0,46.0,1170.0,2,3931.6239316239316,Begur Road
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Saaveas,1104,2.0,2.0,39.0,1104.0,2,3532.608695652174,Doddathoguru
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,45.0,950.0,2,4736.8421052631575,Kanakpura Road
Built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,Kiagar ,1650,2.0,1.0,52.0,1650.0,3,3151.5151515151515,other
Built-up  Area,Ready To Move,Hanumagiri,2 BHK,Nastadr,1100,2.0,1.0,38.0,1100.0,2,3454.5454545454545,other
Super built-up  Area,Ready To Move,Benson Town,3 BHK,GathiVa,1750,3.0,3.0,150.0,1750.0,3,8571.42857142857,Benson Town
Super built-up  Area,18-Jul,Ramagondanahalli,2 BHK,ViistLa,1215,2.0,1.0,45.5,1215.0,2,3744.855967078189,Ramagondanahalli
Super built-up  Area,21-Feb,Talaghattapura,3 BHK,Sodgere,1868,3.0,1.0,135.0,1868.0,3,7226.980728051391,Talaghattapura
Built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1130,2.0,1.0,32.63,1130.0,2,2887.610619469027,Electronic City
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Unknown,1691,3.0,1.0,98.0,1691.0,3,5795.38734476641,Sarjapur  Road
Built-up  Area,Ready To Move,Ardendale,5 Bedroom,Unknown,4355,3.0,1.0,350.0,4355.0,5,8036.739380022962,Ardendale
Super built-up  Area,17-Oct,Hulimavu,2 BHK,ArowsMe,1225,2.0,2.0,55.0,1225.0,2,4489.7959183673465,Hulimavu
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Unknown,1690,3.0,2.0,112.0,1690.0,3,6627.218934911242,JP Nagar
Super built-up  Area,Ready To Move,Kasturi Nagar,4 BHK,Radenta,1896,3.0,1.0,125.0,1896.0,4,6592.827004219409,Kasturi Nagar
Super built-up  Area,17-Sep,Sonnenahalli,1 BHK,Skacak ,605,1.0,1.0,40.0,605.0,1,6611.570247933884,Sonnenahalli
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Riodsri,900,2.0,2.0,32.5,900.0,2,3611.1111111111113,Electronic City Phase II
Plot  Area,Ready To Move,Cholanayakanahalli,1 Bedroom,Unknown,750,2.0,0.0,50.0,750.0,1,6666.666666666667,other
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Unknown,908,2.0,1.0,26.0,908.0,2,2863.4361233480176,Ananth Nagar
Built-up  Area,18-May,Sarjapur  Road,4 Bedroom,Cetattu,3369 - 3464,6.0,0.0,143.0,3416.5,4,4185.570027806234,Sarjapur  Road
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,Soitya ,3216,4.0,1.0,226.0,3216.0,4,7027.363184079602,Thanisandra
Plot  Area,Ready To Move,BEML Layout,5 Bedroom,Unknown,2400,4.0,1.0,225.0,2400.0,5,9375.0,other
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1255,2.0,2.0,74.0,1255.0,2,5896.414342629482,Hulimavu
Built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,100.0,1500.0,3,6666.666666666667,Electronic City
Super built-up  Area,18-Feb,Thanisandra,2 BHK,Bhmesy ,1296,2.0,2.0,72.0,1296.0,2,5555.555555555556,Thanisandra
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Unknown,925,2.0,3.0,38.0,925.0,2,4108.108108108108,Horamavu Banaswadi
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Mahla T,1023,2.0,2.0,42.0,1023.0,2,4105.571847507332,Raja Rajeshwari Nagar
Built-up  Area,Ready To Move,Seshadripuram,2 BHK,Unknown,600,3.0,2.0,75.0,600.0,2,12500.0,other
Super built-up  Area,18-May,Thanisandra,2 BHK,SLityee,1020,2.0,1.0,44.5,1020.0,2,4362.745098039216,Thanisandra
Super built-up  Area,17-Jul,Choodasandra,3 BHK,Sainei ,1530,3.0,2.0,77.0,1530.0,3,5032.679738562091,Choodasandra
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,Unknown,1650,3.0,2.0,71.0,1650.0,3,4303.030303030303,Gubbalala
Built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,Dhise P,1605,2.0,3.0,85.0,1605.0,3,5295.95015576324,other
Super built-up  Area,Ready To Move,Hosakerehalli,2 BHK,Unknown,1925,2.0,1.0,50.0,1925.0,2,2597.4025974025976,Hosakerehalli
Super built-up  Area,Ready To Move,Kogilu,2 BHK,Unknown,1190,2.0,2.0,50.66,1190.0,2,4257.142857142857,Kogilu
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Unknown,1374,3.0,2.0,68.0,1374.0,3,4949.0538573508,Jakkur
Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,SNpalaj,1140,2.0,2.0,65.0,1140.0,2,5701.754385964912,6th Phase JP Nagar
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1725,3.0,2.0,130.0,1725.0,3,7536.231884057971,Green Glen Layout
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,50.0,1075.0,3,4651.162790697675,Bisuvanahalli
Super built-up  Area,Ready To Move,Kannamangala,3 BHK,Sonue A,1574,3.0,1.0,93.34,1574.0,3,5930.114358322745,Kannamangala
Built-up  Area,Ready To Move,Sanjay nagar,1 BHK,Unknown,965,1.0,1.0,32.0,965.0,1,3316.062176165803,Sanjay nagar
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,1550,3.0,2.0,83.0,1550.0,3,5354.8387096774195,Marathahalli
Super built-up  Area,Ready To Move,Akshayanagara West,2 BHK,Ajomaa ,1205,2.0,2.0,60.0,1205.0,2,4979.253112033195,other
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,2.0,1.0,55.0,1082.0,3,5083.179297597043,Kambipura
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1215,2.0,2.0,52.85,1215.0,3,4349.794238683127,Uttarahalli
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5.0,2.0,230.0,2483.0,4,9262.988320579943,Hebbal
Plot  Area,18-Jul,Prasanth Extension,2 Bedroom,Unknown,1200,3.0,1.0,46.14,1200.0,2,3845.0,other
Super built-up  Area,Ready To Move,Chikkathoguru,1 BHK,Unknown,1500,1.0,1.0,19.5,1500.0,1,1300.0,other
Plot  Area,18-May,1st Block Koramangala,4 Bedroom,Unknown,2360,4.0,2.0,600.0,2360.0,4,25423.728813559323,1st Block Koramangala
Super built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,3198,4.0,2.0,250.0,3198.0,4,7817.385866166354,Ardendale
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,60.98,1452.0,3,4199.724517906336,Kanakpura Road
Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,MJtroty,1329,2.0,2.0,41.0,1329.0,3,3085.0263355906695,Electronic City Phase II
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,Unknown,1125,2.0,1.0,44.0,1125.0,2,3911.1111111111113,other
Plot  Area,Ready To Move,Anand nagar,2 Bedroom,Unknown,1200,2.0,0.0,70.0,1200.0,2,5833.333333333333,other
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Unknown,1350,3.0,3.0,39.97,1350.0,3,2960.740740740741,Sarjapur  Road
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Niiewem,1125 - 1500,3.0,0.0,51.19,1312.5,3,3900.190476190476,Uttarahalli
Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2600,3.0,2.0,195.0,2600.0,3,7500.0,Hebbal
Plot  Area,Ready To Move,West of Chord Road,2 Bedroom,Unknown,1200,2.0,1.0,160.0,1200.0,2,13333.333333333334,other
Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,Sryalan,1220,3.0,1.0,35.23,1220.0,3,2887.7049180327863,Electronic City Phase II
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Kencyes,1255,2.0,1.0,80.0,1255.0,2,6374.501992031873,Pai Layout
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,3.0,155.0,1904.0,3,8140.756302521008,other
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Unknown,1329,2.0,2.0,70.0,1329.0,2,5267.11813393529,Somasundara Palya
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,IBaveen,2135,3.0,2.0,160.0,2135.0,3,7494.145199063232,Murugeshpalya
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,Unknown,2770,4.0,3.0,315.0,2770.0,3,11371.841155234657,other
Built-up  Area,19-Dec,"Hoodi Circle,",1 BHK,Unknown,813,1.0,1.0,39.0,813.0,1,4797.047970479704,other
Plot  Area,Ready To Move,Junnasandra,4 Bedroom,Unknown,3884,4.0,3.0,240.0,3884.0,4,6179.196704428425,other
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,Unknown,3876,3.0,1.0,300.0,3876.0,3,7739.938080495356,Doddaballapur
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PrncyRe,800,2.0,2.0,30.0,800.0,2,3750.0,Kalena Agrahara
Plot  Area,Ready To Move,Handenahalli,4 Bedroom,Unknown,4750,2.0,1.0,120.0,4750.0,4,2526.315789473684,other
Super built-up  Area,Ready To Move,Hormavu,3 BHK,Ocock R,1500,3.0,3.0,70.0,1500.0,3,4666.666666666667,Hormavu
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1880,3.0,2.0,95.0,1880.0,3,5053.191489361702,Bannerghatta Road
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Pa II E,1440,2.0,2.0,55.0,1440.0,3,3819.4444444444443,Electronic City
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1575,3.0,2.0,90.0,1575.0,3,5714.285714285715,Akshaya Nagar
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,Unknown,1630,2.0,2.0,97.78,1630.0,3,5998.773006134969,other
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Unknown,1180,3.0,1.0,55.0,1180.0,3,4661.016949152542,Yelahanka
Built-up  Area,Ready To Move,Nagadevanahalli,2 BHK,Unknown,1090,2.0,1.0,36.0,1090.0,2,3302.7522935779816,other
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,Unknown,1020,2.0,2.0,48.45,1020.0,2,4750.0,NGR Layout
Built-up  Area,Ready To Move,"Sarjapur Road,",4 BHK,Unknown,2425,4.0,3.0,173.0,2425.0,4,7134.020618556701,other
Super built-up  Area,18-Mar,Varthur,2 BHK,Hirio L,1097,2.0,1.0,33.82,1097.0,2,3082.9535095715587,Varthur
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Sithand,1070,2.0,1.0,50.0,1070.0,2,4672.897196261682,Raja Rajeshwari Nagar
Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,Mania G,1000,2.0,1.0,58.0,1000.0,2,5800.0,Kumaraswami Layout
Super built-up  Area,18-Apr,manyata tech park,2 BHK,Unknown,1150,2.0,1.0,56.0,1150.0,2,4869.565217391304,other
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Clint E,1900,4.0,2.0,145.0,1900.0,3,7631.578947368421,Frazer Town
Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,937,2.0,1.0,44.0,937.0,2,4695.837780149413,Jigani
Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Blisera,1075,2.0,1.0,60.0,1075.0,2,5581.395348837209,Green Glen Layout
Super built-up  Area,18-Feb,Panathur,2 BHK,Unknown,1000,2.0,1.0,65.3,1000.0,2,6530.0,Panathur
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Unknown,1450,3.0,2.0,77.41,1450.0,3,5338.620689655172,Kasavanhalli
Super built-up  Area,Ready To Move,Ashwathnagar,2 BHK,GMentAp,936,2.0,2.0,43.0,936.0,2,4594.017094017094,other
Built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,Unknown,1280,2.0,1.0,75.0,1280.0,2,5859.375,other
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,Unknown,1050,2.0,3.0,45.0,1050.0,2,4285.714285714285,Babusapalaya
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,2.0,1.0,86.0,1350.0,2,6370.37037037037,Marathahalli
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,GMilse ,1325,2.0,1.0,70.0,1325.0,2,5283.018867924528,Mallasandra
Super built-up  Area,18-Apr,Devanahalli,2 BHK,Oznuean,1174,2.0,1.0,59.0,1174.0,2,5025.553662691653,Devanahalli
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1890,3.0,2.0,162.0,1890.0,3,8571.42857142857,Hosur Road
Super built-up  Area,Ready To Move,Wilson Garden,1 BHK,Unknown,735,1.0,1.0,75.0,735.0,1,10204.081632653062,other
Built-up  Area,Ready To Move,Sarvabhouma Nagar,1 BHK,Unknown,500,1.0,0.0,24.0,500.0,1,4800.0,other
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Unknown,1304,3.0,3.0,80.0,1304.0,3,6134.9693251533745,Gottigere
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1653,3.0,2.0,120.0,1653.0,3,7259.528130671506,Yelahanka
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,52.0,1075.0,3,4837.209302325581,Bisuvanahalli
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Kaiew L,1212,3.0,1.0,42.0,1212.0,2,3465.3465346534654,7th Phase JP Nagar
Built-up  Area,Ready To Move,Hoysalanagar,2 BHK,Mamesi ,1100,2.0,1.0,50.0,1100.0,2,4545.454545454545,other
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3436,6.0,3.0,500.0,3436.0,4,14551.804423748545,Rajaji Nagar
Plot  Area,Ready To Move,SMV layout,3 Bedroom,Unknown,1200,4.0,0.0,145.0,1200.0,3,12083.333333333334,other
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Unknown,1140,2.0,2.0,50.0,1140.0,2,4385.964912280701,Billekahalli
Plot  Area,Ready To Move,Roopena Agrahara,2 Bedroom,Unknown,1200,2.0,1.0,100.0,1200.0,2,8333.333333333334,other
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1532,3.0,2.0,83.0,1532.0,3,5417.754569190601,Kudlu Gate
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,Vahid O,2776,4.0,2.0,195.0,2776.0,3,7024.495677233429,Doddaballapur
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,Naasyak,1531,2.0,0.0,75.0,1531.0,3,4898.758981058132,Padmanabhanagar
Super built-up  Area,18-Dec,Uttarahalli,2 BHK,DSera S,1325,2.0,1.0,53.0,1325.0,2,4000.0,Uttarahalli
Plot  Area,Ready To Move,CQAL LAYOUT C BLOCK,3 Bedroom,Unknown,1200,3.0,1.0,160.0,1200.0,3,13333.333333333334,other
Super built-up  Area,17-Apr,Electronic City,3 BHK,Sie 2is,1156,2.0,2.0,44.0,1156.0,3,3806.2283737024222,Electronic City
Plot  Area,Ready To Move,R.T. Nagar,4 Bedroom,Unknown,2000,4.0,2.0,320.0,2000.0,4,16000.0,R.T. Nagar
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1260,2.0,2.0,70.0,1260.0,2,5555.555555555556,Bannerghatta Road
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1934,2.0,0.0,90.0,1934.0,2,4653.567735263702,Vittasandra
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,Unknown,1060,2.0,1.0,40.0,1060.0,2,3773.5849056603774,Malleshpalya
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMonymp,1476,3.0,1.0,95.0,1476.0,3,6436.314363143631,Kasavanhalli
Super built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Rallaa ,1185,2.0,1.0,85.0,1185.0,2,7172.995780590717,Murugeshpalya
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1265,2.0,1.0,82.0,1265.0,3,6482.213438735178,other
Built-up  Area,18-May,"Near Electronic City,",4 BHK,Unknown,3200,5.0,1.0,150.0,3200.0,4,4687.5,other
